Date,AAPL,GOOGL
2005-08-09,5.6318470000000005,145.930923
2005-08-10,5.575297,142.982986
2005-08-11,5.654980999999999,142.16716
2005-08-12,5.9248769999999995,145.005005
2005-08-15,6.127943,142.14213600000002
2005-08-16,5.9441559999999996,142.967972
2005-08-17,6.059825,142.69268799999998
2005-08-18,5.950582,140.135132
2005-08-19,5.8901769999999996,140.140137
2005-08-22,5.895318,137.14213600000002
2005-08-23,5.87861,139.929932
2005-08-24,5.882465,141.426422
2005-08-25,5.919736,141.436432
2005-08-26,5.87861,141.931931
2005-08-29,5.891461,144.36937
2005-08-30,5.985282,143.77877800000002
2005-08-31,6.026411,143.14314299999998
2005-09-01,5.945441000000001,143.26826499999999
2005-09-02,5.9403,144.36937
2005-09-06,6.271887,143.6987
2005-09-07,6.256465,147.582581
2005-09-08,6.39784,147.84285
2005-09-09,6.594479,149.694702
2005-09-12,6.606047,155.025024
2005-09-13,6.531505,155.996002
2005-09-14,6.375991,151.651657
2005-09-15,6.409407,151.461456
2005-09-16,6.581627,150.25024399999998
2005-09-19,6.765414,152.047043
2005-09-20,6.836100999999999,154.109116
2005-09-21,6.697296000000001,156.10611
2005-09-22,6.670308,155.84083600000002
2005-09-23,6.837385,157.837845
2005-09-26,6.919639999999999,157.297302
2005-09-27,6.8682300000000005,157.127121
2005-09-28,6.564919000000001,153.153152
2005-09-29,6.726856,154.964966
2005-09-30,6.890078999999999,158.388382
2005-10-03,6.996753999999999,159.499496
2005-10-04,6.908073,155.655655
2005-10-05,6.783407,155.51051299999997
2005-10-06,6.644601,156.531525
2005-10-07,6.593192999999999,156.651657
2005-10-10,6.473668,155.48048400000002
2005-10-11,6.630464999999999,153.203201
2005-10-12,6.329722,150.635635
2005-10-13,6.906788000000001,148.868866
2005-10-14,6.940204,148.21821599999998
2005-10-17,6.8682300000000005,152.652649
2005-10-18,6.710147999999999,151.79179399999998
2005-10-19,7.061014,154.504501
2005-10-20,7.215242,151.751755
2005-10-21,7.153550999999999,170.120117
2005-10-24,7.298781,174.499496
2005-10-25,7.2101,173.628632
2005-10-26,7.329625,177.897903
2005-10-27,7.12142,176.706711
2005-10-28,7.000609,179.264267
2005-10-31,7.401598,186.256256
2005-11-01,7.390032000000001,189.879883
2005-11-02,7.704910000000001,190.030029
2005-11-03,7.949103999999999,193.16816699999998
